,age,age_onset,birthplace,filename,native_language,sex,speakerid,country,file_missing?,Unnamed: 9,Unnamed: 10,Unnamed: 11,pathExists,mfcc
25,27,9.0,"virginia, south africa",./archive/recordings/recordings/afrikaans1.mp3,Afrikaans,1,1,South Africa,False,,,,True,"[-426.3644, -413.77927, -415.45663, -409.92676, -396.60464, -405.3492, -418.02975, -432.88007, -447.97104, -448.4397, -450.1013, -448.61212, -450.7897, -454.40543, -455.46756, -458.9026, -460.70215, -456.59433, -458.212, -463.08688]"
26,40,5.0,"pretoria, south africa",./archive/recordings/recordings/afrikaans2.mp3,Afrikaans,0,2,South Africa,False,,,,True,"[-556.75604, -556.75604, -556.75604, -556.75604, -556.75604, -556.75604, -556.75604, -556.75604, -556.75604, -556.75604, -556.75604, -556.75604, -556.75604, -556.75604, -556.75604, -556.75604, -556.75604, -556.75604, -556.75604, -556.75604]"
27,43,4.0,"pretoria, transvaal, south africa",./archive/recordings/recordings/afrikaans3.mp3,Afrikaans,0,418,South Africa,False,,,,True,"[-469.4348, -460.94107, -461.85916, -464.64273, -462.7141, -450.584, -421.17892, -429.10394, -460.9655, -463.12097, -457.8859, -457.73587, -459.9681, -459.15103, -455.4811, -453.3766, -457.5383, -466.29276, -466.23666, -461.54797]"
28,26,8.0,"pretoria, south africa",./archive/recordings/recordings/afrikaans4.mp3,Afrikaans,0,1159,South Africa,False,,,,True,"[-522.2772, -522.9251, -522.99817, -523.0003, -522.98505, -522.98444, -523.0603, -523.0247, -523.00195, -523.03546, -522.9926, -522.9959, -522.9965, -522.99646, -522.9988, -522.9999, -522.9975, -522.9973, -522.9998, -522.99725]"
29,19,6.0,"cape town, south africa",./archive/recordings/recordings/afrikaans5.mp3,Afrikaans,0,1432,South Africa,False,,,,True,"[-577.28455, -525.975, -499.82678, -493.3297, -492.4738, -498.94873, -496.9132, -496.95135, -499.36374, -504.30838, -507.35663, -506.03583, -506.00662, -506.02625, -503.38138, -484.86462, -467.85022, -481.8162, -491.16965, -490.72852]"
30,25,15.0,"diekabo, ivory coast",./archive/recordings/recordings/agni1.mp3,Agni,0,3,Ivory Coast,False,,,,True,"[-429.09116, -381.0797, -325.32007, -311.39124, -336.49185, -360.15372, -375.56952, -381.74176, -385.90378, -390.9045, -399.84735, -406.15308, -404.6804, -404.74887, -403.3468, -405.98782, -413.05774, -416.0638, -417.1713, -418.9503]"
31,41,5.0,"accra, ghana",./archive/recordings/recordings/akan1.mp3,Akan,0,979,Ghana,False,,,,True,"[-358.61505, -337.81635, -334.89835, -337.0941, -338.78644, -344.9354, -342.12238, -341.74445, -343.9751, -337.26437, -335.54254, -339.123, -334.36597, -330.87082, -331.16843, -326.7791, -320.84116, -319.15967, -319.09467, -321.42816]"
32,19,6.0,"prishtina, kosovo",./archive/recordings/recordings/albanian1.mp3,Albanian,0,4,Kosovo,False,,,,True,"[-548.36487, -555.9807, -561.0638, -561.0253, -561.04755, -561.0328, -561.02356, -561.024, -561.02313, -561.0223, -561.02405, -561.02405, -561.0222, -561.0154, -561.02277, -561.0234, -561.0203, -561.0361, -561.0458, -561.0248]"
33,33,15.0,"tirana, albania",./archive/recordings/recordings/albanian2.mp3,Albanian,0,5,Albania,False,,,,True,"[-636.32086, -636.32086, -636.32086, -636.32086, -636.32086, -636.32086, -636.32086, -636.32086, -636.32086, -636.32086, -636.32086, -636.32086, -636.32086, -636.32086, -636.32086, -636.32086, -636.32086, -636.32086, -636.32086, -636.32086]"
34,44,35.0,"tirana, albania",./archive/recordings/recordings/albanian3.mp3,Albanian,0,458,Albania,False,,,,True,"[-589.09656, -589.09656, -589.09656, -589.09656, -589.09656, -589.09656, -589.09656, -589.09656, -589.09656, -589.09656, -589.09656, -589.09656, -589.09656, -589.09656, -589.09656, -589.09656, -589.09656, -589.09656, -589.09656, -589.09656]"
35,33,28.0,"mitrovice, kosovo",./archive/recordings/recordings/albanian4.mp3,Albanian,0,868,Kosovo,False,,,,True,"[-556.30304, -556.30304, -556.30304, -556.30304, -556.30304, -556.30304, -556.30304, -556.30304, -556.30304, -556.30304, -556.30304, -556.30304, -556.30304, -556.30304, -556.30304, -556.30304, -556.30304, -556.30304, -556.30304, -556.30304]"
36,31,11.0,"vlore, albania",./archive/recordings/recordings/albanian5.mp3,Albanian,0,946,Albania,False,,,,True,"[-595.1942, -595.1942, -595.1942, -595.1942, -595.1942, -595.1942, -595.1942, -595.1942, -595.1942, -595.1942, -595.1942, -595.1942, -595.1942, -595.1942, -595.1942, -595.1942, -595.1942, -595.1942, -595.1942, -595.1942]"
37,25,11.0,"prishtina, kosovo",./archive/recordings/recordings/albanian6.mp3,Albanian,1,1081,Kosovo,False,,,,True,"[-560.3814, -560.2518, -560.30115, -560.32886, -560.3658, -560.21606, -560.27344, -560.30774, -560.2687, -560.28613, -560.2788, -560.27155, -560.312, -560.2789, -560.2787, -560.2831, -560.27386, -560.2718, -560.2694, -560.26953]"
38,45,11.0,"prishtina, kosovo",./archive/recordings/recordings/albanian7.mp3,Albanian,1,1403,Kosovo,False,,,,True,"[-503.75815, -483.1311, -476.23038, -471.363, -463.47458, -458.68515, -455.9458, -440.05887, -374.1003, -370.7775, -421.5556, -444.79175, -450.5633, -456.55554, -458.74628, -457.7547, -461.55298, -460.5497, -457.29965, -454.16943]"
39,43,9.0,"prishtina, kosovo",./archive/recordings/recordings/albanian8.mp3,Albanian,1,1404,Kosovo,False,,,,True,"[-502.8154, -487.20874, -490.42, -488.5737, -478.7047, -471.26404, -482.07526, -485.66742, -487.1498, -488.6478, -477.41766, -467.74924, -452.41528, -436.85837, -439.01495, -444.73148, -441.0531, -404.47583, -385.3511, -383.5737]"
40,22,6.0,"tirana, albania",./archive/recordings/recordings/albanian9.mp3,Albanian,1,1706,Albania,False,,,,True,"[-547.01917, -541.703, -532.446, -530.5861, -529.6403, -527.94305, -527.0216, -527.03314, -522.3428, -522.72455, -524.6901, -526.2367, -530.6445, -529.19006, -526.99945, -527.7434, -530.4784, -528.53125, -528.5088, -527.0651]"
41,37,32.0,"tata, morocco",./archive/recordings/recordings/amazigh1.mp3,Amazigh,0,601,Morocco,False,,,,True,"[-557.03357, -557.03357, -557.03357, -557.03357, -557.03357, -557.03357, -557.03357, -557.03357, -557.03357, -557.03357, -557.03357, -557.03357, -557.03357, -557.03357, -557.03357, -557.03357, -557.03357, -557.03357, -557.03357, -557.03357]"
42,39,16.0,"ouarzazat, morocco",./archive/recordings/recordings/amazigh2.mp3,Amazigh,0,1498,Morocco,False,,,,True,"[-501.70917, -496.62732, -495.21115, -508.12006, -516.8861, -514.74304, -507.536, -496.74817, -481.2709, -459.25116, -462.9419, -473.33267, -474.3844, -475.0846, -464.6898, -458.60468, -463.72955, -462.41977, -457.28064, -454.73285]"
43,20,5.0,"addis ababa, ethiopia",./archive/recordings/recordings/amharic1.mp3,Amharic,1,6,Ethiopia,False,,,,True,"[-474.45102, -468.12994, -474.6445, -470.30948, -470.13892, -471.4284, -470.29675, -470.02066, -468.8728, -468.3559, -465.81616, -464.126, -467.24454, -468.08557, -470.43173, -466.35648, -469.5566, -468.55258, -464.0106, -463.29413]"
44,29,19.0,"gonder, ethiopia",./archive/recordings/recordings/amharic10.mp3,Amharic,1,998,Ethiopia,False,,,,True,"[-574.6098, -574.6098, -574.6098, -574.6098, -574.6098, -573.9665, -573.9245, -573.99414, -573.99023, -573.9616, -573.9443, -573.96906, -573.95734, -573.9659, -574.0073, -574.0113, -573.98737, -573.963, -573.9638, -573.95856]"
45,24,17.0,"addis ababa, ethiopia",./archive/recordings/recordings/amharic11.mp3,Amharic,1,1129,Ethiopia,False,,,,True,"[-534.1868, -534.14716, -534.2278, -534.21844, -534.21814, -534.212, -534.2111, -534.2123, -534.1875, -534.1865, -534.21844, -534.1851, -534.21545, -534.2097, -534.23975, -534.1788, -534.18884, -534.21106, -534.1777, -534.18475]"
46,26,15.0,"addis ababa, ethiopia",./archive/recordings/recordings/amharic12.mp3,Amharic,1,1130,Ethiopia,False,,,,True,"[-570.4976, -570.7726, -570.7933, -570.7868, -570.799, -570.7921, -570.77057, -570.7803, -570.79614, -570.80176, -570.8067, -570.77704, -570.7947, -570.79614, -570.79004, -570.7957, -570.7503, -570.7545, -570.81635, -570.8086]"
47,28,6.0,"addis ababa, ethiopia",./archive/recordings/recordings/amharic13.mp3,Amharic,1,1131,Ethiopia,False,,,,True,"[-556.77454, -556.6776, -556.71246, -556.69916, -556.6353, -556.6877, -556.7185, -556.7147, -556.71674, -556.70764, -556.69055, -556.7106, -556.7177, -556.71173, -556.70984, -556.7088, -556.6709, -556.7, -556.7513, -556.72485]"
48,31,12.0,"addis ababa, ethiopia",./archive/recordings/recordings/amharic14.mp3,Amharic,0,1515,Ethiopia,False,,,,True,"[-649.3613, -649.3613, -649.3613, -649.3613, -649.3613, -649.3613, -649.3613, -649.3613, -649.3613, -649.3613, -649.3613, -649.3613, -649.3613, -649.3613, -649.3613, -649.3613, -649.3613, -649.3613, -649.3613, -649.3613]"
49,23,6.0,"addis ababa, ethiopia",./archive/recordings/recordings/amharic15.mp3,Amharic,0,1516,Ethiopia,False,,,,True,"[-604.2691, -604.15515, -604.2654, -604.315, -604.1961, -604.19324, -604.2397, -604.24097, -604.2249, -604.228, -604.22266, -604.2197, -604.2665, -604.2196, -604.2376, -604.2569, -604.2526, -604.2298, -604.22296, -604.25745]"
50,36,11.0,"werder, ethiopia",./archive/recordings/recordings/amharic16.mp3,Amharic,0,1854,Ethiopia,False,,,,True,"[-540.91095, -519.73047, -521.41364, -529.0949, -525.968, -521.06165, -521.73047, -507.382, -483.7668, -476.17047, -471.63693, -464.7834, -467.46817, -468.60397, -460.1644, -455.09357, -458.16937, -458.67142, -457.63162, -462.53232]"
51,21,9.0,"addis ababa, ethiopia",./archive/recordings/recordings/amharic17.mp3,Amharic,0,1906,Ethiopia,False,,,,True,"[-577.55084, -577.55084, -577.55084, -577.55084, -577.55084, -577.55084, -577.55084, -577.55084, -577.3102, -568.59076, -548.4443, -534.1373, -523.5567, -516.55615, -520.0236, -516.0991, -519.6112, -529.9723, -528.37994, -521.29987]"
